draw_date,draw_number,n1,n2,n3,n4,n5,mega
2017-07-01,3156,10,29,31,35,45,23
2017-07-05,3157,10,19,22,29,42,4
2017-07-08,3158,3,4,19,27,45,22
2017-07-12,3159,9,14,34,35,36,27
2017-07-15,3160,8,24,26,32,44,11
2017-07-19,3161,6,7,17,29,46,11
2017-07-22,3162,17,24,35,36,38,9
2017-07-26,3163,10,15,19,22,27,19
2017-07-29,3164,8,14,16,38,39,16
2017-08-02,3165,11,36,37,41,47,25
2017-08-05,3166,6,9,19,27,38,15
2017-08-09,3167,20,28,29,30,31,17
2017-08-12,3168,10,27,28,34,41,7
2017-08-16,3169,23,31,34,43,47,19
2017-08-19,3170,8,14,21,27,47,25
2017-08-23,3171,7,8,20,27,35,7
2017-08-26,3172,1,4,13,27,45,16
2017-08-30,3173,21,22,35,38,47,22
2017-09-02,3174,1,3,15,30,41,12
2017-09-06,3175,13,25,31,43,47,14
2017-09-09,3176,14,15,22,36,46,21
